epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.562,1.13056,1.70761,0.87672,0.83116,0.65821,0.76519,0.54803,0.96411,1.5398,0.85833,0.000407801,0.000407801,0.000407801
2,373.987,1.12661,1.64166,0.87542,0.88189,0.67792,0.78826,0.57091,0.95372,1.30748,0.84698,0.000552394,0.000552394,0.000552394
3,557.566,1.09442,1.48266,0.87096,0.8554,0.71325,0.81012,0.57918,0.93582,1.22905,0.84089,0.000421986,0.000421986,0.000421986
